index,name,link,category,country,shop_location,user_id,shop_id,cancellation_rate,response_rate,rating_normal,rating_bad,rating_good,total_avg_star,follower_count,following_count,item_count
93,Baby Plaza,https://shopee.vn/babyplaza_official_store,Đồ chơi,VN,TP. Hồ Chí Minh,12024380,12023078,0,67,26,15,1491,4.890482,4722,6,211
94,Đồ Chơi Hoàn Thành,https://shopee.vn/dochoihoanthanhvn,Đồ chơi,VN,Hưng Yên,306130927,306111342,0,99,23,2,2453,4.942496,5973,3,41
95,Globber,https://shopee.vn/globbervietnam,Đồ chơi,VN,TP. Hồ Chí Minh,116537010,116535186,0,85,2,0,43,4.886364,682,7,42
96,Intex,https://shopee.vn/intex_vietnam,Đồ chơi,VN,Hà Nội,120542536,120540714,0,96,147,70,10889,4.917826,65351,315,496
97,AC MEN,https://shopee.vn/acmenfashion,Thời Trang Nam,VN,TP. Hồ Chí Minh,324391879,324372280,0,40,5,1,246,4.899194,4953,21,39
98,Amazing,https://shopee.vn/amazingthoitrang,Thời Trang Nam,VN,TP. Hồ Chí Minh,94333413,94331935,0,97,42,18,2075,4.881585,2162,0,206
99,Aristino,https://shopee.vn/aristinovietnam,Thời Trang Nam,VN,Hà Nội,194101233,194098340,0,73,71,48,4145,4.892345,22585,386,110
100,Anh Thơ,https://shopee.vn/anhtholeather,Thời Trang Nam,VN,TP. Hồ Chí Minh,5852989,5851689,0,99,380,140,20012,4.883584,144262,191,352
101,Basic Man,https://shopee.vn/basicman_official,Thời Trang Nam,VN,Hà Nội,425027703,425008126,0,73,92,42,4111,4.849785,6345,65,71
102,Aldo,https://shopee.vn/aldovietnamofficial,Giày Dép Nữ,VN,TP. Hồ Chí Minh,257822666,257821310,0,95,278,175,5109,4.700036,156875,16,2988
103,Biti's,https://shopee.vn/bitisvn,Giày Dép Nữ,VN,TP. Hồ Chí Minh,25212885,25211549,0,61,1108,516,84670,4.915222,494570,4,586
